sample,fastq_1
H1Control,H1Control.fq.gz
H1IFN,H1IFN.fq.gz
H1IIFNTNF,H1IIFNTNF.fq.gz
H1TNF,H1TNF.fq.gz
H2Control,H2Control.fq.gz
H2IFN,H2IFN.fq.gz
H2IIFNTNF,H2IIFNTNF.fq.gz
H2TNF,H2TNF.fq.gz
H3Control,H3Control.fq.gz
H3IFN,H3IFN.fq.gz
H3IIFNTNF,H3IIFNTNF.fq.gz
H3TNF,H3TNF.fq.gz
H4Control,H4Control.fq.gz
H4IFN,H4IFN.fq.gz
H4IIFNTNF,H4IIFNTNF.fq.gz
H4TNF,H4TNF.fq.gz
H5Control,H5Control.fq.gz
H5IFN,H5IFN.fq.gz
H5TNF,H5TNF.fq.gz
H5IIFNTNF,H5IIFNTNF.fq.gz
